videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
bwH9Qdsiz6Y,REGALOS #shorts,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2022-11-02T01:24:36Z,PT21S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/bwH9Qdsiz6Y/default.jpg,145541715,2677349,7195,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
OpgY3ieV2LM,EL PARQUE ACUATICO,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-08-30T23:42:20Z,PT30S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/OpgY3ieV2LM/default.jpg,97520215,3291026,6249,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
b26ukwSsdvs,CUANDO TIENES QUE COMPARTIR,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-02-14T01:51:57Z,PT33S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/b26ukwSsdvs/default.jpg,95736573,3837999,5872,24,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
gUj7BHdAwW4,LA PISCINA #shorts,,2022-05-21T02:35:00Z,PT47S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/gUj7BHdAwW4/default.jpg,94621460,4255634,3860,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
i8pL1fPOYtE,LARIN JR RICO #comedia,,2024-01-21T23:24:05Z,PT34S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/i8pL1fPOYtE/default.jpg,92115150,3556359,9284,24,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
GkH3RgTHmgQ,LOS CHOCO BANANOS,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-07-27T23:52:24Z,PT37S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/GkH3RgTHmgQ/default.jpg,91479329,3498563,12239,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
9RN5HTaQ7OI,VALORA TU FAMILIA,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-02-15T01:52:50Z,PT56S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/9RN5HTaQ7OI/default.jpg,89590151,5085893,13177,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
S1o60cKHa3U,LA TAREA DE CIENCIA,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-06-28T01:33:02Z,PT37S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/S1o60cKHa3U/default.jpg,86762319,3965105,3935,24,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour"
5Pgvb5RTioc,LARIN PREDICE EL FUTURO,GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS,2023-04-02T00:00:03Z,PT47S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/5Pgvb5RTioc/default.jpg,84987557,4677042,4316,24,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Humour"
i8X4rAJn09Y,PELIGRINA #shorts,,2022-10-24T01:08:06Z,PT50S,UCd5ApCORQsMOZZz5E9oVeFA,Alfredo Larin,https://i.ytimg.com/vi/i8X4rAJn09Y/default.jpg,83135648,3679923,5968,24,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
