videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
hxHbpHS9zXg,SHIRT PENALTIES 😱⚽️,Damn 🔥,2023-07-19T15:30:20Z,PT37S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/hxHbpHS9zXg/default.jpg,468943369,10377349,18667,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
9nbhMgc3_3s,SO THIS HAPPENED TODAY.. ❤️🙌,Thank you all so much!!,2023-09-22T17:28:59Z,PT26S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/9nbhMgc3_3s/default.jpg,418676548,16484466,75381,17,https://en.wikipedia.org/wiki/Entertainment
xoQIXFplaJE,"Whatever You Land On, Recreate It!! 🙈⚽️",Wow!,2023-08-06T15:30:23Z,PT34S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/xoQIXFplaJE/default.jpg,400292378,8293055,7288,17,https://en.wikipedia.org/wiki/Sport
ZS3ac1qNx5Y,MULTI-BALL LEVEL CHALLENGE 😱🙈,DRAW?!!,2023-10-28T15:35:56Z,PT34S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/ZS3ac1qNx5Y/default.jpg,361138784,6172775,6678,17,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
WTWIwpaJRUU,"Whatever You Land On, Shoot It!! 🔥⚽️",Subscribe ⚽️,2023-08-19T15:30:09Z,PT30S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/WTWIwpaJRUU/default.jpg,360018929,6202293,5338,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
QD0r2sym-Hs,EA FC 24 CARD PENALTIES!! 🙈😱,Wow!,2023-10-13T15:45:01Z,PT34S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/QD0r2sym-Hs/default.jpg,338700756,7233217,8841,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
mxulyZg4RfY,FOOTBALL WITH PLAY BUTTONS ▶️ #roadto100million,Wow,2024-04-14T15:08:28Z,PT24S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/mxulyZg4RfY/default.jpg,311944094,8657651,12703,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
pDChlg9XgP8,"Whatever You Land On, Juggle It!! 🙈",Let's gooo!!,2023-08-24T16:00:45Z,PT33S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/pDChlg9XgP8/default.jpg,293222714,4852472,2991,17,https://en.wikipedia.org/wiki/Sport
Omj6tNUS7qY,"Whatever You Land On, Crossbar! 😱🙈",CROSSBARRRRRR,2024-04-24T15:30:13Z,PT35S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/Omj6tNUS7qY/default.jpg,252079067,4690705,4516,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
BoicA4ik-zc,MICHIEL vs FAMOUS FOOTBALLERS 😱📏,Huh,2024-01-31T16:00:06Z,PT25S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/BoicA4ik-zc/default.jpg,238056486,4197437,10025,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
QZJVX5sMNMc,FOOTBOT vs DUCT TAPE 😱,Wow!,2023-11-18T16:30:03Z,PT29S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/QZJVX5sMNMc/default.jpg,227699277,5257151,6956,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
a1fJqcNwCB4,SO THIS IS NEXT?! 🙌❤️,Thank you!,2024-02-03T16:00:01Z,PT23S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/a1fJqcNwCB4/default.jpg,209073521,6941460,18652,17,https://en.wikipedia.org/wiki/Entertainment
Lcogg1cqegQ,"Whatever You Land On, Recreate The Skill!! 🙈⚽️",Wow!,2023-08-15T15:06:17Z,PT38S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/Lcogg1cqegQ/default.jpg,206900606,7332326,8793,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
ZUcNP9mLdTY,CRISTIANO RONALDO SHIRT CELEBRATIONS 🔥⚽️,@cristiano the goat,2023-07-18T15:00:32Z,PT24S,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,https://i.ytimg.com/vi/ZUcNP9mLdTY/default.jpg,190683507,3479815,5275,17,"https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
