channelId,topicCategoryId
UCzzF1kdBgwv5RB6rbB6kVSA,14.0
UCzzF1kdBgwv5RB6rbB6kVSA,15.0
UCzzF1kdBgwv5RB6rbB6kVSA,12.0
UCzzF1kdBgwv5RB6rbB6kVSA,16.0
UCzybe_mMxv848rF6lrrNI2g,0.0
UCzybe_mMxv848rF6lrrNI2g,1.0
UCzybe_mMxv848rF6lrrNI2g,4.0
UCzxB97H_KbPwMoKjE0A33bg,23.0
UCzu8CMR8o5vF8yMLSZSkXFg,0.0
UCzu8CMR8o5vF8yMLSZSkXFg,1.0
UCzphhcCQ7QHAOkeydbWKm_w,30.0
UCzphhcCQ7QHAOkeydbWKm_w,5.0
UCzphhcCQ7QHAOkeydbWKm_w,23.0
UCzphhcCQ7QHAOkeydbWKm_w,25.0
UCzphhcCQ7QHAOkeydbWKm_w,45.0
UCzpFNL2b-U9JDBekoNnB4_Q,41.0
UCzpFNL2b-U9JDBekoNnB4_Q,42.0
UCzpFNL2b-U9JDBekoNnB4_Q,0.0
UCzmwnZ_ZElg6kuE6e5QS4pg,22.0
UCzmwnZ_ZElg6kuE6e5QS4pg,25.0
UCzmwnZ_ZElg6kuE6e5QS4pg,23.0
UCzYfz8uibvnB7Yc1LjePi4g,15.0
UCzYfz8uibvnB7Yc1LjePi4g,14.0
UCzYfz8uibvnB7Yc1LjePi4g,12.0
UCzYfz8uibvnB7Yc1LjePi4g,13.0
UCzY_sIOOHeCobumpqJrjdig,0.0
UCzY_sIOOHeCobumpqJrjdig,1.0
UCzU8-lZlRfkV3nj0RzAZdrQ,29.0
UCzU8-lZlRfkV3nj0RzAZdrQ,30.0
UCzRWWsFjqHk1an4OnVPsl9g,30.0
UCzRWWsFjqHk1an4OnVPsl9g,29.0
UCzRWWsFjqHk1an4OnVPsl9g,28.0
UCzIO0iX4yKW2P4NkmmKq1PA,22.0
UCzIO0iX4yKW2P4NkmmKq1PA,23.0
UCzH3H8sRfqH3rEVZcpTV2Cw,15.0
UCzH3H8sRfqH3rEVZcpTV2Cw,12.0
UCzH3H8sRfqH3rEVZcpTV2Cw,14.0
UCzH3H8sRfqH3rEVZcpTV2Cw,16.0
UCzEy7pi3B7TIS9cn_sdKK9A,15.0
UCzEy7pi3B7TIS9cn_sdKK9A,12.0
UCzEy7pi3B7TIS9cn_sdKK9A,16.0
UCzEy7pi3B7TIS9cn_sdKK9A,14.0
UCz6PEeVLG1TL6jMRTvSLm4g,22.0
UCz6PEeVLG1TL6jMRTvSLm4g,23.0
UCz0zSuukBglV2YwG3_7uKRg,23.0
UCz0zSuukBglV2YwG3_7uKRg,22.0
UCz0WHqCLIsbthm4klrR2NRg,29.0
UCz0WHqCLIsbthm4klrR2NRg,5.0
UCz0WHqCLIsbthm4klrR2NRg,30.0
UCz0WHqCLIsbthm4klrR2NRg,28.0
UCz-OH0v7eBY2-KVPCxHLojg,0.0
UCz-OH0v7eBY2-KVPCxHLojg,23.0
UCytuDduA8lQ8AqmRKk5r2Yg,14.0
UCytuDduA8lQ8AqmRKk5r2Yg,23.0
UCytuDduA8lQ8AqmRKk5r2Yg,22.0
UCyom2UA2ftfI2-JLN2zdGXg,4.0
UCyom2UA2ftfI2-JLN2zdGXg,0.0
UCyom2UA2ftfI2-JLN2zdGXg,1.0
UCylSSdB9eIs8w-cRtHZMREA,1.0
UCylSSdB9eIs8w-cRtHZMREA,0.0
UCyg4cz6Uo1q5oXJU_1SsNHw,0.0
UCybR149vtw40AjiQhvdckXg,30.0
UCybR149vtw40AjiQhvdckXg,23.0
UCybR149vtw40AjiQhvdckXg,28.0
UCySjheRcVJ21B3Jo3HcWMTQ,23.0
UCySjheRcVJ21B3Jo3HcWMTQ,22.0
UCyNzZ1wgkOWkzYE0zbs7zhA,16.0
UCyNzZ1wgkOWkzYE0zbs7zhA,14.0
UCyNzZ1wgkOWkzYE0zbs7zhA,12.0
UCyNzZ1wgkOWkzYE0zbs7zhA,15.0
UCyNsPTbcRQoI_RdjZoBiGaQ,1.0
UCyNsPTbcRQoI_RdjZoBiGaQ,0.0
UCyNsPTbcRQoI_RdjZoBiGaQ,1.0
UCyNsPTbcRQoI_RdjZoBiGaQ,0.0
UCyIjXN5TEaU-LzMT0iQx_ww,14.0
UCyIjXN5TEaU-LzMT0iQx_ww,20.0
UCy5YY4ove_brGfXphrhG15Q,30.0
UCy5YY4ove_brGfXphrhG15Q,29.0
UCy5YY4ove_brGfXphrhG15Q,28.0
UCy0tKL1T7wFoYcxCe0xjN6Q,22.0
UCy0tKL1T7wFoYcxCe0xjN6Q,23.0
UCy-U026m7Y5VjhhUmXwj-3A,23.0
UCy-U026m7Y5VjhhUmXwj-3A,30.0
UCy-U026m7Y5VjhhUmXwj-3A,28.0
UCy-U026m7Y5VjhhUmXwj-3A,29.0
UCxtmlJEOx5PcH701iM3RTeQ,44.0
UCxtmlJEOx5PcH701iM3RTeQ,42.0
UCxtmlJEOx5PcH701iM3RTeQ,41.0
UCxsk7hqE_CwZWGEJEkGanbA,15.0
UCxsk7hqE_CwZWGEJEkGanbA,16.0
UCxsk7hqE_CwZWGEJEkGanbA,14.0
UCxsk7hqE_CwZWGEJEkGanbA,12.0
UCxlQGwZmTfKJB1rgF7K7UXg,5.0
UCxlQGwZmTfKJB1rgF7K7UXg,30.0
UCxcTeAKWJca6XyJ37_ZoKIQ,28.0
UCxcTeAKWJca6XyJ37_ZoKIQ,29.0
UCxcTeAKWJca6XyJ37_ZoKIQ,4.0
UCxcTeAKWJca6XyJ37_ZoKIQ,30.0
UCxW0P1-4PTmZ1-u22kxbMgg,0.0
UCxW0P1-4PTmZ1-u22kxbMgg,1.0
UCxW0P1-4PTmZ1-u22kxbMgg,3.0
UCxRGk49YNiW3Cq8s7MGknqw,1.0
UCxRGk49YNiW3Cq8s7MGknqw,0.0
UCxRGk49YNiW3Cq8s7MGknqw,3.0
UCxB-FLDInYpclh7C7AT10aw,1.0
UCxB-FLDInYpclh7C7AT10aw,23.0
UCxB-FLDInYpclh7C7AT10aw,4.0
UCxB-FLDInYpclh7C7AT10aw,0.0
UCx6cailiCkg_mlMM7JX5yfA,23.0
UCx6cailiCkg_mlMM7JX5yfA,14.0
UCx6cailiCkg_mlMM7JX5yfA,22.0
UCx5YHlRtMvg2NgQaQcMUeDQ,1.0
UCx5YHlRtMvg2NgQaQcMUeDQ,0.0
UCx4MHIcTdwdcmJ5accSDlPA,23.0
UCx4MHIcTdwdcmJ5accSDlPA,22.0
UCx4MHIcTdwdcmJ5accSDlPA,25.0
UCx2StD8gHd_-nRo5z1qcJ8g,13.0
UCx2StD8gHd_-nRo5z1qcJ8g,16.0
UCx2StD8gHd_-nRo5z1qcJ8g,14.0
UCx2StD8gHd_-nRo5z1qcJ8g,17.0
UCx2StD8gHd_-nRo5z1qcJ8g,15.0
UCx2StD8gHd_-nRo5z1qcJ8g,12.0
UCx18ywTcohtS9lpNXt8noWQ,23.0
UCx18ywTcohtS9lpNXt8noWQ,30.0
UCx18ywTcohtS9lpNXt8noWQ,0.0
UCwwuSBYcErVlOpveYubHv4g,22.0
UCwwuSBYcErVlOpveYubHv4g,23.0
UCwdEr_DVvYp6Maf-OTw7z_w,23.0
UCwdEr_DVvYp6Maf-OTw7z_w,22.0
UCwdEr_DVvYp6Maf-OTw7z_w,14.0
UCwVJr6R-2Hbezs5Ur4zmcLw,16.0
UCwVJr6R-2Hbezs5Ur4zmcLw,12.0
UCwVJr6R-2Hbezs5Ur4zmcLw,14.0
UCwVJr6R-2Hbezs5Ur4zmcLw,19.0
