videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
Cq_KA3VVN-4,Probando COMIDA CALLEJERA EN CHINA! | ¿Realmente comen perro?,"Nunca había sorprendido tanto a mi paladar...

* Música: Sakura - Myster https://youtu.be/TwiOJo88g2c
- Soundcloud de MYSTER https://soundcloud.com/mystersound
- Instagram de MYSTER https://www.instagram.com/freakmena/

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2017-04-13T20:52:30Z,PT11M13S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/Cq_KA3VVN-4/default.jpg,72565684,1417312,87420,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
htg_e_Q8D6s,Probando COMIDA DE $1 | ¿Qué TAN MALA es?,"¡Me sorprendió encontrar comida TAN barata!

* Música: Jazz Club - Kriss http://freemusicarchive.org/music/Kriss/
- Used under license Creative Commons 3.0 https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2017-10-07T19:57:49Z,PT13M38S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/htg_e_Q8D6s/default.jpg,68066110,1389698,47271,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
9S_cpitI3jU,"Así viven en una cárcel para enfermos mentales | Topochico, México","Subiré el video de la nueva prisión en unos días, suscríbanse para estar al pendiente.

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-10-15T19:32:04Z,PT27M11S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/9S_cpitI3jU/default.jpg,52500221,1059076,40997,23,
hLwSyZSnaRU,Visitando un SUPERMERCADO EN VENEZUELA,"Un supermercado común y corriente en un país que actualmente está en crisis. 

- Canal del buen Vic https://www.youtube.com/user/SoyIdeasAbstractas

* Música: Hot Mustard - S Strong https://youtu.be/TIUpOlFOZiE
- Soundcloud de S Strong https://soundcloud.com/stelios_strong
- Usada con licencia Creative Commons — Attribution 3.0 Unported— CC BY 3.0 https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2017-06-26T19:35:23Z,PT10M58S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/hLwSyZSnaRU/default.jpg,47117691,1258393,86862,23,
GkPFYufZ2oo,Comida BARATA vs CARA,"Compramos comida en diferentes lugares con la misma cantidad de dinero. Un análisis de lo que la mayoría solemos comer...

* Música DJ Masaya Mix: https://soundcloud.com/dj_masaya/dj-masaya-electrogypsyswing

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2016-09-25T23:45:43Z,PT12M26S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/GkPFYufZ2oo/default.jpg,46972881,985001,43040,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
D_rJXLLXJ8A,Avión primera clase COSTOSO vs MUY COSTOSO | Gran diferencia!,"Hasta entre primeras clases existe una GRAN diferencia...

* Música: I want to forget you - C.L.O https://soundcloud.com/clorap/bhad-i-want-to-forget-you-jazz
- Usada con licencia Creative Commons 3.0 https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2017-07-25T20:50:05Z,PT13M18S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/D_rJXLLXJ8A/default.jpg,45703346,1146148,38334,23,
69qKUoGhoQo,Así viven criminales en la prisión más estricta del mundo | El Salvador CECOT,"Una dura medida que ha traído grandes avances a este país. Gracias al CECOT y a la Secretaría de Prensa de la Presidencia de El Salvador por abrirme las puertas para grabar este reportaje. 

Partes del video:

00:00 - Introducción Celda Aislamiento
00:11 - Vida Prisión Delitos
00:50 - Centro Confinamiento El Salvador
01:06 - Máxima Seguridad Interrogatorio
01:28 - Métodos Castigos
01:56 - Tecnología Bloqueo Señal
02:24 - Revisión Integral Ingreso
02:40 - Acceso Restringido Visitas
03:07 - Control Motines
03:30 - Capacidad Celda
04:01 - Condenas Extremas
04:25 - Perdida Noción Tiempo
04:53 - Atención Médica Interna
05:27 - Procedimiento Nuevos Delitos
06:08 - Audiencias Remotas
06:53 - Medidas Seguridad Traslados
07:10 - Vigilancia Torre
07:36 - Métodos Dormir Prisioneros
07:59 - Extracción Ejercicio
08:32 - Anonimato Custodios
09:13 - Impacto Delincuencia
09:45 - Ejercicio Libre Movilidad
10:06 - Identificación Pandillas
10:34 - Convivencia Forzada
11:18 - Celda Aislamiento Descripción
12:22 - Alimentación Prisioneros
13:33 - Trabajo Comunitario
13:56 - Distribución Comida
14:29 - Testimonio Pandillero
15:54 - Reflexión Salida Cárcel
16:04 - Impresiones Finales


- Cámbiate a PILLOFON, mi compañía telefónica https://pillofon.mx/
- Checa REY PALOMO, mi marca de ropa https://elreypalomo.com/
- Mi podcast ""En Cortinas"" https://www.youtube.com/channel/UCBGTa75yKQ84Q6Pcr3NQ_RA
- Mi canal de historias @Luisito Comunica Stories   https://www.youtube.com/channel/UCMw2OXRkEZ72sYBy8T56tqA

¡SUSCRÍBETE!

- Sígueme en Instagram @LuisitoComunica http://www.instagram.com/LuisitoComunica
- Sígueme en Facebook http://www.facebook.com/LuisitoComunica
- Twitter https://www.twitter.com/LuisitoComunica",2024-02-07T20:13:51Z,PT16M49S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/69qKUoGhoQo/default.jpg,44482788,1075148,38150,24,https://en.wikipedia.org/wiki/Society
FwHlGL33rXA,EXPLORANDO CHERNOBYL: Zona de Exclusión (parte 1/2),"Ve la segunda parte aquí https://youtu.be/6pOqp-CitKg

- Música https://soundcloud.com/sci-fi-music-prod/omega-omnium
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-06-17T18:00:02Z,PT24M12S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/FwHlGL33rXA/default.jpg,43650045,1367996,56492,22,
7godoItuG_Q,Temí por mi vida 🤯🗡️,,2024-02-23T18:55:07Z,PT26S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/7godoItuG_Q/default.jpg,42009341,2433305,24433,24,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
v9j2BVSuha4,Probando comida de Los Simpson en VIDA REAL!,"Espero que les guste este videirijillo pillo de Luisillo el gordillo.

* Música: Swingin' Jazz - Nicolai Heidlas https://soundcloud.com/nicolai-heidlas/jazz-blues-background-music
- Used under Creative Commons License 3.0 https://creativecommons.org/licenses/by-sa/3.0/
- Soundcloud del artista https://soundcloud.com/nicolai-heidlas


¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2018-01-05T20:58:26Z,PT11M24S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/v9j2BVSuha4/default.jpg,39740225,1374737,51251,23,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
