createdAt,totViews,subscribers,videoCount,channel_ids.Indice,channel_ids.channelId
2020-05-22 00:20:30.114,93496341,197000,134,0,UCm-br7GkJR2lLC74RcxOE_g
2022-02-22 04:47:38.059,58182800,55300,46,1,UCHA7nav_7GnACDpLca3CoEA
2021-06-08 01:35:47.434,21664214152,15900000,997,2,UCvz84_Q0BbvZThy75mbd-Dg
2008-05-08 13:19:49.000,1183425226,591000,394,3,UCluBPogtFcb25J_lAEquHhw
2023-01-03 14:53:43.692,528583205,244000,494,4,UCwN6WZLeXWu37N8y-2w35mA
2024-07-30 07:14:51.311,173683370,337000,131,5,UCJPoi8zNQb4NNNz_5row-4w
2024-05-14 11:08:42.363,486575846,151000,270,6,UCs6um-skK0zCzp2Ds2IQp5g
2024-07-09 05:25:18.667,79003092,45700,169,7,UCPXSaShYiIXS2XeISCicXqg
2013-07-23 23:32:27.000,16560092009,14700000,8849,8,UCqFzWxSCi39LnW1JKFR3efg
2010-12-10 11:08:40.000,142319449,135000,47,9,UCIyY_18YcA1wARixTX96qBw
2011-08-15 13:32:54.000,2612032938,6330000,2154,10,UCrPseYLGpNygVi34QpGNqpA
2024-05-30 13:55:41.389,10501421,10600,164,11,UCrnkVGy4jfo_qzBh5Wr3IuQ
2024-07-21 02:39:00.722,25426212,14000,193,12,UCajd8wBB3ayNaVgqkQhs0sg
2008-04-13 16:45:12.000,419419289,215000,217,13,UCMY_6rqeZ8AYOJW_O4Ws6Mg
2024-08-26 04:48:28.010,18055808,25800,93,14,UCYn7aV7fTvcxktIu7Fh9q2g
2024-06-29 09:58:37.395,133669973,130000,244,15,UCA0PfV-19qRaRpWVCLdsHLQ
2024-09-24 05:04:53.967,15719487,21700,34,16,UCn_MzTa4Am75VSAHjbGD7lA
2024-04-30 21:44:21.540,1269695825,535000,193,17,UCgRHYxFhV_SjP1wBO6_OTuw
2024-04-30 18:25:22.842,251558262,247000,369,18,UCAncV2fEB-phVIMCESMCTvQ
2024-06-21 20:02:35.759,51301890,66800,46,19,UCYMZpxeToYeVxKdNU7dcV_A
2024-06-26 19:32:04.577,14983240,14500,76,20,UCusImzfCu5DK_zhdrZaJHfw
