Indice,topicCat
0,Entertainment
1,Film
2,Food
3,Humour
4,Television_program
5,Basketball
6,Health
7,Pet
8,Performing_arts
9,Professional_wrestling
10,Military
11,Politics
12,Role-playing_video_game
13,Simulation_video_game
14,Video_game_culture
15,Action-adventure_game
16,Action_game
17,Casual_game
18,Racing_video_game
19,Strategy_video_game
20,Sports_game
21,Puzzle_video_game
22,Technology
23,Lifestyle_(sociology)
24,Knowledge
25,Hobby
26,Society
27,Business
28,American_football
29,Association_football
30,Sport
31,Physical_fitness
32,Baseball
33,Boxing
34,Mixed_martial_arts
35,Golf
36,Motorsport
37,Volleyball
38,Tennis
39,Ice_hockey
40,Vehicle
41,Hip_hop_music
42,Music
43,Music_of_Asia
44,Pop_music
45,Fashion
46,Religion
47,Tourism
48,Electronic_music
49,Cricket
50,Rock_music
