videoId,topicCategoryId
ubbCaKyloSw,0
Bn1i70BNrec,0
8bkXUkZW370,0
_iPnlcpNa_Q,0
xqIt4T1C2gY,0
ByWt4MkeZwA,0
txesXaVNCh0,0
4ApQxMJbBMc,0
AafBunu-k2U,0
QptdRsyFvFU,0
Uffxq_l1jHw,0
Kfu4ev_DYu4,0
f57IAMKZJnE,0
z6H0N3ylfDk,0
iimBE-r0piI,0
WgTTohVI634,0
4_YJiiWMZR4,0
DLa1oHpr5g4,0
8I-sm3kdzes,0
DN9-M4epAoA,0
52Z245i0fsg,0
i-pdbprgSBM,0
ubbCaKyloSw,1
Bn1i70BNrec,1
8bkXUkZW370,1
_iPnlcpNa_Q,1
xqIt4T1C2gY,1
ByWt4MkeZwA,1
txesXaVNCh0,1
4ApQxMJbBMc,1
AafBunu-k2U,1
QptdRsyFvFU,1
Uffxq_l1jHw,1
Kfu4ev_DYu4,1
f57IAMKZJnE,1
z6H0N3ylfDk,1
iimBE-r0piI,1
WgTTohVI634,1
4_YJiiWMZR4,1
DLa1oHpr5g4,1
8I-sm3kdzes,1
DN9-M4epAoA,1
52Z245i0fsg,1
ubbCaKyloSw,2
ubbCaKyloSw,3
Kfu4ev_DYu4,3
f57IAMKZJnE,3
Bn1i70BNrec,4
AafBunu-k2U,4
z6H0N3ylfDk,4
4ApQxMJbBMc,5
z6H0N3ylfDk,6
i-pdbprgSBM,1
bLbFCCWeF7I,0
bLbFCCWeF7I,1
8rvEeOcOD7E,0
8rvEeOcOD7E,1
8rvEeOcOD7E,3
Yzoc8KLvER0,0
Yzoc8KLvER0,1
Yzoc8KLvER0,4
xtiQ5ehn_ac,0
xtiQ5ehn_ac,1
xtiQ5ehn_ac,3
xtiQ5ehn_ac,7
XRl_LYCFR20,0
XRl_LYCFR20,1
_t6G2nKasvM,0
_t6G2nKasvM,1
_t6G2nKasvM,6
BEiyRIPzZRM,0
BEiyRIPzZRM,1
hxgGllDxfBs,0
hxgGllDxfBs,1
N6sAmhU546s,0
N6sAmhU546s,1
14GF4rfH_MQ,0
14GF4rfH_MQ,1
14GF4rfH_MQ,4
Qv2SpJi8FH8,0
Qv2SpJi8FH8,1
Qv2SpJi8FH8,4
AeegYUWJXTQ,0
AeegYUWJXTQ,1
RkdQ4VuAsc8,0
RkdQ4VuAsc8,1
XDzQYXhv0pM,0
XDzQYXhv0pM,1
kZLYH8V_Rik,0
kZLYH8V_Rik,1
n5q_It9qoao,0
n5q_It9qoao,1
cyztLteyung,0
cyztLteyung,1
cyztLteyung,8
cyztLteyung,9
hGG4nn0mP3A,0
hGG4nn0mP3A,1
hGG4nn0mP3A,4
4E0F4a9dL4k,0
4E0F4a9dL4k,1
4E0F4a9dL4k,4
xMpVp8od9ZI,0
xMpVp8od9ZI,1
xMpVp8od9ZI,3
p6wSIsVMzc8,0
p6wSIsVMzc8,1
p6wSIsVMzc8,4
1pdlvyhmXcU,0
1pdlvyhmXcU,1
1pdlvyhmXcU,3
NN1lPb7vPlE,0
NN1lPb7vPlE,1
QqIfjcF8U-I,0
QqIfjcF8U-I,1
QqIfjcF8U-I,4
qGjOGkMAHuo,0
qGjOGkMAHuo,1
fefuSX29HAQ,0
fefuSX29HAQ,1
fefuSX29HAQ,4
4zB01L68DL0,0
