video_index,publishedAt,duration,viewCount,likeCount,commentCount,categoryId,channel_ids.Indice
365,2024-10-09 16:00:50,00:00:10,419086,16423,83,28,365
537,2024-10-09 18:02:23,00:00:10,1994508,0,623,17,537
576,2024-10-15 01:13:55,00:00:10,476818,21641,496,17,576
629,2024-09-30 19:30:50,00:00:10,13341352,464031,10310,17,629
701,2024-10-13 19:13:00,00:00:10,270206,5934,118,17,701
512,2024-10-12 23:01:46,00:00:11,22261987,798815,1405,17,138
174,2024-10-05 20:41:38,00:00:11,6334512,311143,15461,1,174
513,2024-10-15 04:48:44,00:00:11,2218643,155403,936,17,513
553,2024-10-14 16:36:45,00:00:11,594191,26144,490,17,553
627,2024-10-08 22:00:18,00:00:11,1159881,58132,290,17,627
697,2024-10-05 01:48:40,00:00:11,2606451,122166,3407,17,697
139,2024-10-11 22:53:16,00:00:12,2681662,96394,311,1,139
325,2024-10-09 02:00:16,00:00:12,1901861,76496,4245,28,325
337,2024-10-12 16:00:50,00:00:12,384113,7323,0,28,337
511,2024-10-14 02:40:32,00:00:12,2136992,68946,1290,17,511
601,2024-10-15 08:11:45,00:00:12,282309,5216,111,17,601
603,2024-10-14 16:42:16,00:00:12,719498,51398,178,17,603
644,2024-10-18 02:55:47,00:00:12,141000,4426,70,17,644
646,2024-10-03 05:04:03,00:00:12,5551184,80329,5084,17,646
647,2024-10-08 19:00:46,00:00:12,2853452,103916,904,17,647
658,2024-10-08 16:00:10,00:00:12,1896011,97495,347,17,658
669,2024-10-07 04:29:13,00:00:12,1061068,53363,1516,17,669
687,2024-10-09 23:54:22,00:00:12,1486856,13281,178,17,687
695,2024-10-15 23:05:00,00:00:12,124324,7063,69,17,695
115,2024-10-04 02:02:57,00:00:13,4029634,197659,3450,1,115
145,2024-10-12 14:22:05,00:00:13,2742180,137269,1101,1,145
186,2024-09-17 15:14:53,00:00:13,6001226,472656,7676,1,186
387,2024-09-25 17:02:31,00:00:13,17968265,1045251,3816,28,387
397,2024-10-10 23:01:05,00:00:13,956831,50977,491,28,397
412,2024-10-04 16:09:15,00:00:13,1257683,65895,413,28,412
461,2024-10-04 23:51:50,00:00:13,3457641,119767,513,28,461
468,2024-09-25 03:56:51,00:00:13,8270954,100381,224,28,468
520,2024-10-06 15:00:54,00:00:13,2822810,58932,638,17,520
568,2024-10-14 23:44:35,00:00:13,490372,19162,53,17,568
604,2024-10-11 05:55:42,00:00:13,900998,20799,1846,17,604
619,2024-10-18 01:19:30,00:00:13,222067,20442,120,17,619
673,2024-10-08 16:00:49,00:00:13,1484519,45578,37,17,673
356,2024-10-12 13:30:22,00:00:14,887861,98011,7888,28,356
495,2024-10-09 15:21:02,00:00:14,976240,11109,16,28,495
514,2024-10-14 19:39:02,00:00:14,1300621,55845,310,17,514
540,2024-10-14 04:45:00,00:00:14,1422321,69653,776,17,540
571,2024-10-10 11:00:41,00:00:14,4088467,133618,1319,17,571
577,2024-10-14 15:56:45,00:00:14,6703452,315684,1054,17,577
579,2024-10-06 17:11:15,00:00:14,37883322,1558128,5785,17,579
599,2024-10-05 00:02:58,00:00:14,5515571,262534,1593,17,599
605,2024-10-05 12:35:03,00:00:14,3769511,152222,223,17,605
613,2024-09-28 16:13:09,00:00:14,115269162,1923600,21703,17,613
634,2024-10-08 23:02:46,00:00:14,882819,28466,1007,17,634
661,2024-10-11 01:18:02,00:00:14,674409,2490,145,17,661
141,2024-10-13 18:45:01,00:00:15,1189682,46669,586,1,141
150,2024-10-14 15:45:00,00:00:15,888544,95174,715,1,150
523,2024-10-09 02:01:37,00:00:15,9174849,632035,3061,17,397
480,2024-10-06 21:41:39,00:00:15,435618,22784,466,28,480
532,2024-10-16 22:00:13,00:00:15,519970,28819,134,17,532
555,2024-10-14 10:12:44,00:00:15,561164,45796,282,17,555
561,2024-10-14 17:58:00,00:00:15,1031133,0,189,17,561
574,2024-10-07 22:16:11,00:00:15,2429038,149822,351,17,574
585,2024-10-10 19:00:53,00:00:15,592613,26684,1297,17,585
612,2024-10-09 17:32:24,00:00:15,509564,17259,276,17,612
614,2024-10-04 16:20:51,00:00:15,14075130,664070,1996,17,614
616,2024-10-13 23:00:15,00:00:15,763089,68187,993,17,616
618,2024-09-29 13:15:41,00:00:15,752474,47674,36,17,618
