channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UC63anZxfVGHUEmfBAf5w7pw,CaseOh,2011-10-03T17:21:10Z,696751645,5630000,1151,"/m/0403l3g,/m/021bp2,/m/02ntfj,/m/0bzvm2,/m/025zzc,/m/0b1vjn","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Casual_game"
UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,2018-02-01T21:48:49Z,4755531408,8910000,1129,"/m/02jjt,/m/025zzc,/m/0bzvm2,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Film"
UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,2012-05-26T20:30:52Z,21910351719,37000000,5653,"/m/025zzc,/m/02ntfj,/m/0bzvm2,/m/0403l3g","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game"
UCx2StD8gHd_-nRo5z1qcJ8g,Subnautica,2013-09-20T00:44:44Z,66552162,522000,81,"/m/0403l3g,/m/0b1vjn,/m/02ntfj,/m/0bzvm2,/m/025zzc,/m/021bp2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Casual_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Simulation_video_game"
UCm-X6o81nRsXQTmqpyArkBQ,Flamingo,2017-07-06T06:35:30Z,11318149469,13000000,2576,"/m/0403l3g,/m/025zzc,/m/02ntfj,/m/0bzvm2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCVf5qFhOe0GXGKE8L7fGBVg,MATROTTV,2018-09-02T15:27:27Z,95832004,475000,1125,"/m/02jjt,/m/0bzvm2,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Film"
UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,2011-09-15T07:05:29Z,16209111304,25900000,1978,"/m/025zzc,/m/02ntfj,/m/0bzvm2,/m/0403l3g","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game"
UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,2012-08-13T20:32:51Z,24022678261,22000000,5119,"/m/02ntfj,/m/021bp2,/m/0403l3g,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture"
UC5sc1ysFs7RfjjEFMuQ3ZQw,DougDougDoug,2019-07-27T21:22:19Z,92724383,701000,74,"/m/02ntfj,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,2017-04-28T09:17:41Z,2882053456,20200000,242,"/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UC7trU46U_9XPDtMnDbiDPUQ,FaZe Jev,2009-10-18T03:26:28Z,2366362754,5390000,3521,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/03hf_rm","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Strategy_video_game"
UCbCQBD9gKSEnNtIqmKY1R3Q,Vegas Matt,2007-01-07T06:33:57Z,448610662,819000,997,"/m/07c1v,/m/019_rr,/m/0bzvm2","https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Video_game_culture"
UCzzF1kdBgwv5RB6rbB6kVSA,Tyler & Snowi,2020-03-19T22:48:34.528482Z,867184367,3190000,792,"/m/0403l3g,/m/025zzc,/m/02ntfj,/m/0bzvm2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture"
UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America,2006-09-19T17:48:06Z,566838033,1330000,3025,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCS99JNYziShf-WZB6GwOwMQ,The Real Granny,2022-10-13T14:44:56.84123Z,468952333,2040000,393,"/m/0403l3g,/m/0bzvm2,/m/01sjng","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Racing_video_game"
