channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCvURt1amfXhiH8lwRyGZDLw,D1 Kuumo,2021-12-31T17:26:49.455724Z,190779339,298000,777,"/m/0jm_,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCzRWWsFjqHk1an4OnVPsl9g,ESPN College Football,2019-08-08T18:20:21Z,658975688,906000,11004,"/m/0jm_,/m/06ntj,/m/02vx4","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Association_football"
UCGBVtwvzxkd2iX4JMaH_4Pg,Aykronik,2022-03-07T09:02:28.843994Z,160148135,968000,101,"/m/06ntj,/m/02jjt","https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Entertainment"
UCFGBQdzpBoKTPe2NbRGyWBw,Brandon2real4u ,2024-05-13T00:54:47.438409Z,220295015,273000,483,"/m/019_rr,/m/02jjt","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment"
UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,2014-12-14T02:07:35Z,10746008828,13400000,42514,"/m/02vx4,/m/06ntj,/m/0jm_,/m/019_rr","https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCGaqvTgdAOhduHop1ALoCEQ,No Huddle Shorts,2023-10-27T00:26:43.702602Z,24037635,18700,115,"/m/02vx4,/m/06ntj,/m/0jm_,/m/019_rr","https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UChFmE1R8i2unrefvok0YCoQ,Clark,2021-02-08T00:58:36.961666Z,2284151613,2630000,803,"/m/02jjt,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UClZGwXC47D2SCQIQN9TJw4g,MTN Hoops,2024-08-27T20:35:26.450411Z,10210434,16600,26,"/m/018w8,/m/06ntj","https://en.wikipedia.org/wiki/Basketball,https://en.wikipedia.org/wiki/Sport"
UC6zuHOLcKY74-K3kSvrP4zw,krab,2020-05-15T19:10:55.657305Z,148155649,275000,198,"/m/019_rr,/m/02jjt","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment"
UCFZ7tUfV-BXWeS7BLTthi_A,Everest,2023-09-28T20:41:52.525529Z,106850514,76300,159,"/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
