videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
Dqm3TVK3Jgw,He thought he was Tough..🤣☠️#shorts #nfl,#football #patmahomes,2024-10-13T13:55:33Z,PT16S,UCvURt1amfXhiH8lwRyGZDLw,D1 Kuumo,https://i.ytimg.com/vi/Dqm3TVK3Jgw/default.jpg,4972389,254199,3387,17,"https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
JGPk1fW7dS4,Baker Mayfield on Texas: 'Good feeling' being 'rent free in their heads' (via CJVogel_OTF/x) #shorts,"Baker Mayfield on Texas: 'Good feeling' being 'rent free in their heads' (via CJVogel_OTF/x) #shorts

✔️Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",2024-10-14T00:40:32Z,PT12S,UCzRWWsFjqHk1an4OnVPsl9g,ESPN College Football,https://i.ytimg.com/vi/JGPk1fW7dS4/default.jpg,2136992,68946,1290,17,"https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Television_program"
Fef22Bm8A9w,IShowSpeed vs Norway Kids (backflips) #ishowspeed,,2024-10-12T21:01:46Z,PT11S,UCGBVtwvzxkd2iX4JMaH_4Pg,Aykronik,https://i.ytimg.com/vi/Fef22Bm8A9w/default.jpg,22261987,798815,1405,17,https://en.wikipedia.org/wiki/Sport
xdLXlB7HDO8,#subscribe @Brandonisbetterrr,,2024-10-15T02:48:44Z,PT11S,UCFGBQdzpBoKTPe2NbRGyWBw,Brandon2real4u ,https://i.ytimg.com/vi/xdLXlB7HDO8/default.jpg,2218643,155403,936,17,https://en.wikipedia.org/wiki/Sport
23LpptRvqGQ,those elementary Qb sneaks 😂,,2024-10-14T17:39:02Z,PT14S,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,https://i.ytimg.com/vi/23LpptRvqGQ/default.jpg,1300621,55845,310,17,"https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport"
mTSBDoY9hfY,Reggie Bush Was SHOCKED He Wasn’t Drafted 1st Overall 😳,"Reggie Bush talks about being caught off guard when he wasn't selected with the number 1 draft pick in the 2006 draft. After an incredible career at USC Bush was thought of as the unanimous 1st pick and had been in continuous dialogue with the Houston Texans who were expected to draft Bush with the 1st pick. Bush recollects finding out on the night of the draft the Texans chose Mario Williams and that he would fall to the New Orleans Saints with the 2nd overall pick and after talking to Drew Brees he was confident in going there. #shorts #football #nfl #draft #nfldraft #neworleanssaints #houstontexans #bush #usc #college #ncaa 

Credit to @OuttaPocketRG3 for the interview.",2024-10-12T09:30:14Z,PT59S,UCGaqvTgdAOhduHop1ALoCEQ,No Huddle Shorts,https://i.ytimg.com/vi/mTSBDoY9hfY/default.jpg,1370206,92984,382,17,"https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
WDBIz0jfdnk,This disqualified him?,"Enjoy!

#Clarkinc

Disclaimer:
Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statutes that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use",2024-10-13T22:45:00Z,PT20S,UChFmE1R8i2unrefvok0YCoQ,Clark,https://i.ytimg.com/vi/WDBIz0jfdnk/default.jpg,3423062,197930,308,17,"https://en.wikipedia.org/wiki/Physical_fitness,https://en.wikipedia.org/wiki/Sport"
q-PAU9uWWCk,Shortest player in the NBA shocked Ja Morant 🤯 #shorts,,2024-10-14T08:32:56Z,PT36S,UClZGwXC47D2SCQIQN9TJw4g,MTN Hoops,https://i.ytimg.com/vi/q-PAU9uWWCk/default.jpg,4093369,238674,3378,17,"https://en.wikipedia.org/wiki/Basketball,https://en.wikipedia.org/wiki/Sport"
hY3bvqxoWBM,What you thought would happen playing basketball in your driveway,#basketball #nba #sports #highschool,2024-10-13T16:29:22Z,PT1M1S,UC6zuHOLcKY74-K3kSvrP4zw,krab,https://i.ytimg.com/vi/hY3bvqxoWBM/default.jpg,2980511,209346,592,17,"https://en.wikipedia.org/wiki/Basketball,https://en.wikipedia.org/wiki/Sport"
z-SmT2cpxxk,Types Of Stops On A WATER Rink!,,2024-10-06T19:28:20Z,PT19S,UCFZ7tUfV-BXWeS7BLTthi_A,Everest,https://i.ytimg.com/vi/z-SmT2cpxxk/default.jpg,12781116,580922,2005,17,https://en.wikipedia.org/wiki/Sport
